Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
1999,1,Ciutat Vella,1,el Raval,1,1001,41
1999,1,Ciutat Vella,1,el Raval,1,1002,41
1999,1,Ciutat Vella,1,el Raval,2,1003,39
1999,1,Ciutat Vella,1,el Raval,2,1004,51
1999,1,Ciutat Vella,1,el Raval,3,1005,46
1999,1,Ciutat Vella,1,el Raval,3,1006,27
1999,1,Ciutat Vella,1,el Raval,3,1007,35
1999,1,Ciutat Vella,1,el Raval,4,1008,55
1999,1,Ciutat Vella,1,el Raval,4,1009,21
1999,1,Ciutat Vella,1,el Raval,4,1010,37
1999,1,Ciutat Vella,1,el Raval,5,1011,44
1999,1,Ciutat Vella,1,el Raval,5,1012,31
1999,1,Ciutat Vella,1,el Raval,5,1013,13
1999,1,Ciutat Vella,1,el Raval,6,1014,27
1999,1,Ciutat Vella,1,el Raval,6,1015,36
1999,1,Ciutat Vella,1,el Raval,6,1016,28
1999,1,Ciutat Vella,1,el Raval,6,1017,29
1999,1,Ciutat Vella,1,el Raval,7,1018,19
1999,1,Ciutat Vella,1,el Raval,7,1019,40
1999,1,Ciutat Vella,1,el Raval,7,1020,39
1999,1,Ciutat Vella,1,el Raval,8,1021,60
1999,1,Ciutat Vella,2,el Barri Gòtic,9,1022,27
1999,1,Ciutat Vella,2,el Barri Gòtic,9,1023,139
1999,1,Ciutat Vella,2,el Barri Gòtic,10,1025,37
1999,1,Ciutat Vella,2,el Barri Gòtic,10,1026,35
1999,1,Ciutat Vella,2,el Barri Gòtic,10,1027,33
1999,1,Ciutat Vella,2,el Barri Gòtic,11,1028,60
1999,1,Ciutat Vella,2,el Barri Gòtic,11,1029,43
1999,1,Ciutat Vella,2,el Barri Gòtic,12,1030,48
1999,1,Ciutat Vella,2,el Barri Gòtic,12,1031,27
1999,1,Ciutat Vella,3,la Barceloneta,13,1032,23
1999,1,Ciutat Vella,3,la Barceloneta,13,1033,26
1999,1,Ciutat Vella,3,la Barceloneta,13,1034,16
1999,1,Ciutat Vella,3,la Barceloneta,14,1035,29
1999,1,Ciutat Vella,3,la Barceloneta,14,1036,14
1999,1,Ciutat Vella,3,la Barceloneta,15,1037,20
1999,1,Ciutat Vella,3,la Barceloneta,15,1038,21
1999,1,Ciutat Vella,3,la Barceloneta,15,1039,13
1999,1,Ciutat Vella,3,la Barceloneta,15,1040,23
1999,1,Ciutat Vella,3,la Barceloneta,15,1041,38
1999,1,Ciutat Vella,3,la Barceloneta,15,1042,29
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,25
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,21
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,51
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,44
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,27
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,35
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,30
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,26
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,33
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,56
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,34
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,23
1999,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,14
1999,2,Eixample,5,el Fort Pienc,20,2001,11
1999,2,Eixample,5,el Fort Pienc,20,2002,31
1999,2,Eixample,5,el Fort Pienc,20,2003,21
1999,2,Eixample,5,el Fort Pienc,20,2004,33
1999,2,Eixample,5,el Fort Pienc,20,2005,28
1999,2,Eixample,5,el Fort Pienc,20,2006,24
1999,2,Eixample,5,el Fort Pienc,20,2007,36
1999,2,Eixample,5,el Fort Pienc,20,2008,31
1999,2,Eixample,5,el Fort Pienc,20,2009,29
1999,2,Eixample,5,el Fort Pienc,21,2010,32
1999,2,Eixample,5,el Fort Pienc,21,2011,18
1999,2,Eixample,5,el Fort Pienc,21,2012,27
1999,2,Eixample,5,el Fort Pienc,21,2013,15
1999,2,Eixample,5,el Fort Pienc,22,2014,19
1999,2,Eixample,5,el Fort Pienc,22,2015,21
1999,2,Eixample,5,el Fort Pienc,22,2016,34
1999,2,Eixample,5,el Fort Pienc,22,2017,32
1999,2,Eixample,5,el Fort Pienc,22,2018,13
1999,2,Eixample,5,el Fort Pienc,22,2019,25
1999,2,Eixample,5,el Fort Pienc,22,2020,11
1999,2,Eixample,6,la Sagrada Família,23,2021,22
1999,2,Eixample,6,la Sagrada Família,23,2022,5
1999,2,Eixample,6,la Sagrada Família,23,2023,11
1999,2,Eixample,6,la Sagrada Família,23,2024,22
1999,2,Eixample,6,la Sagrada Família,24,2025,12
1999,2,Eixample,6,la Sagrada Família,24,2026,24
1999,2,Eixample,6,la Sagrada Família,24,2027,39
1999,2,Eixample,6,la Sagrada Família,24,2028,37
1999,2,Eixample,6,la Sagrada Família,24,2029,15
1999,2,Eixample,6,la Sagrada Família,24,2030,25
1999,2,Eixample,6,la Sagrada Família,24,2031,8
1999,2,Eixample,6,la Sagrada Família,24,2032,15
1999,2,Eixample,6,la Sagrada Família,25,2033,18
1999,2,Eixample,6,la Sagrada Família,25,2034,19
1999,2,Eixample,6,la Sagrada Família,25,2035,15
1999,2,Eixample,6,la Sagrada Família,25,2036,14
1999,2,Eixample,6,la Sagrada Família,25,2037,21
1999,2,Eixample,6,la Sagrada Família,25,2038,37
1999,2,Eixample,6,la Sagrada Família,25,2039,32
1999,2,Eixample,6,la Sagrada Família,25,2040,13
1999,2,Eixample,6,la Sagrada Família,26,2041,26
1999,2,Eixample,6,la Sagrada Família,26,2042,15
1999,2,Eixample,6,la Sagrada Família,26,2043,14
1999,2,Eixample,6,la Sagrada Família,26,2044,10
1999,2,Eixample,6,la Sagrada Família,26,2045,16
1999,2,Eixample,6,la Sagrada Família,26,2046,23
1999,2,Eixample,6,la Sagrada Família,26,2047,15
1999,2,Eixample,6,la Sagrada Família,26,2048,10
1999,2,Eixample,6,la Sagrada Família,27,2049,35
1999,2,Eixample,6,la Sagrada Família,27,2050,27
1999,2,Eixample,6,la Sagrada Família,27,2051,48
1999,2,Eixample,6,la Sagrada Família,27,2052,33
1999,2,Eixample,6,la Sagrada Família,27,2053,44
1999,2,Eixample,6,la Sagrada Família,27,2054,36
1999,2,Eixample,7,la Dreta de l'Eixample,28,2055,34
1999,2,Eixample,7,la Dreta de l'Eixample,28,2056,20
1999,2,Eixample,7,la Dreta de l'Eixample,28,2057,15
1999,2,Eixample,7,la Dreta de l'Eixample,28,2058,18
1999,2,Eixample,7,la Dreta de l'Eixample,28,2059,24
1999,2,Eixample,7,la Dreta de l'Eixample,28,2060,33
1999,2,Eixample,7,la Dreta de l'Eixample,29,2061,32
1999,2,Eixample,7,la Dreta de l'Eixample,29,2062,24
1999,2,Eixample,7,la Dreta de l'Eixample,29,2063,20
1999,2,Eixample,7,la Dreta de l'Eixample,29,2064,16
1999,2,Eixample,7,la Dreta de l'Eixample,29,2065,49
1999,2,Eixample,7,la Dreta de l'Eixample,30,2066,18
1999,2,Eixample,7,la Dreta de l'Eixample,30,2067,13
1999,2,Eixample,7,la Dreta de l'Eixample,30,2068,23
1999,2,Eixample,7,la Dreta de l'Eixample,30,2069,20
1999,2,Eixample,7,la Dreta de l'Eixample,31,2070,25
1999,2,Eixample,7,la Dreta de l'Eixample,31,2071,39
1999,2,Eixample,7,la Dreta de l'Eixample,31,2072,10
1999,2,Eixample,7,la Dreta de l'Eixample,32,2073,23
1999,2,Eixample,7,la Dreta de l'Eixample,32,2074,28
1999,2,Eixample,7,la Dreta de l'Eixample,32,2075,20
1999,2,Eixample,7,la Dreta de l'Eixample,32,2076,36
1999,2,Eixample,7,la Dreta de l'Eixample,33,2077,63
1999,2,Eixample,7,la Dreta de l'Eixample,34,2078,37
1999,2,Eixample,7,la Dreta de l'Eixample,34,2079,38
1999,2,Eixample,7,la Dreta de l'Eixample,35,2080,27
1999,2,Eixample,7,la Dreta de l'Eixample,35,2081,39
1999,2,Eixample,7,la Dreta de l'Eixample,36,2082,26
1999,2,Eixample,7,la Dreta de l'Eixample,36,2083,33
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2084,30
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2085,30
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2086,21
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,37,2087,22
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2088,31
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2089,25
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,38,2090,52
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2091,25
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,39,2092,34
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2093,36
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2094,15
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2095,14
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2096,26
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,40,2097,24
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2098,16
1999,2,Eixample,8,l'Antiga Esquerra de l'Eixample,41,2099,29
