Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2013,1,Ciutat Vella,1,el Raval,1,1001,126
2013,1,Ciutat Vella,1,el Raval,1,1002,153
2013,1,Ciutat Vella,1,el Raval,2,1003,318
2013,1,Ciutat Vella,1,el Raval,2,1004,333
2013,1,Ciutat Vella,1,el Raval,3,1005,259
2013,1,Ciutat Vella,1,el Raval,3,1006,180
2013,1,Ciutat Vella,1,el Raval,3,1007,220
2013,1,Ciutat Vella,1,el Raval,4,1008,405
2013,1,Ciutat Vella,1,el Raval,4,1009,200
2013,1,Ciutat Vella,1,el Raval,4,1010,243
2013,1,Ciutat Vella,1,el Raval,5,1011,390
2013,1,Ciutat Vella,1,el Raval,5,1012,167
2013,1,Ciutat Vella,1,el Raval,5,1013,89
2013,1,Ciutat Vella,1,el Raval,6,1014,163
2013,1,Ciutat Vella,1,el Raval,6,1015,161
2013,1,Ciutat Vella,1,el Raval,6,1016,146
2013,1,Ciutat Vella,1,el Raval,6,1017,241
2013,1,Ciutat Vella,1,el Raval,7,1018,123
2013,1,Ciutat Vella,1,el Raval,7,1019,265
2013,1,Ciutat Vella,1,el Raval,7,1020,182
2013,1,Ciutat Vella,1,el Raval,8,1021,167
2013,1,Ciutat Vella,2,el Barri Gòtic,9,1022,92
2013,1,Ciutat Vella,2,el Barri Gòtic,9,1023,177
2013,1,Ciutat Vella,2,el Barri Gòtic,10,1025,120
2013,1,Ciutat Vella,2,el Barri Gòtic,10,1026,269
2013,1,Ciutat Vella,2,el Barri Gòtic,10,1027,172
2013,1,Ciutat Vella,2,el Barri Gòtic,11,1028,201
2013,1,Ciutat Vella,2,el Barri Gòtic,11,1029,171
2013,1,Ciutat Vella,2,el Barri Gòtic,12,1030,260
2013,1,Ciutat Vella,2,el Barri Gòtic,12,1031,210
2013,1,Ciutat Vella,3,la Barceloneta,13,1032,167
2013,1,Ciutat Vella,3,la Barceloneta,13,1033,110
2013,1,Ciutat Vella,3,la Barceloneta,13,1034,76
2013,1,Ciutat Vella,3,la Barceloneta,14,1035,105
2013,1,Ciutat Vella,3,la Barceloneta,14,1036,71
2013,1,Ciutat Vella,3,la Barceloneta,15,1037,85
2013,1,Ciutat Vella,3,la Barceloneta,15,1038,152
2013,1,Ciutat Vella,3,la Barceloneta,15,1039,86
2013,1,Ciutat Vella,3,la Barceloneta,15,1040,112
2013,1,Ciutat Vella,3,la Barceloneta,15,1041,144
2013,1,Ciutat Vella,3,la Barceloneta,15,1042,97
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,120
