Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2012,1,Ciutat Vella,1,el Raval,1,1001,121
2012,1,Ciutat Vella,1,el Raval,1,1002,207
2012,1,Ciutat Vella,1,el Raval,2,1003,351
2012,1,Ciutat Vella,1,el Raval,2,1004,305
2012,1,Ciutat Vella,1,el Raval,3,1005,324
2012,1,Ciutat Vella,1,el Raval,3,1006,252
2012,1,Ciutat Vella,1,el Raval,3,1007,290
2012,1,Ciutat Vella,1,el Raval,4,1008,451
2012,1,Ciutat Vella,1,el Raval,4,1009,280
2012,1,Ciutat Vella,1,el Raval,4,1010,374
2012,1,Ciutat Vella,1,el Raval,5,1011,450
2012,1,Ciutat Vella,1,el Raval,5,1012,188
2012,1,Ciutat Vella,1,el Raval,5,1013,122
2012,1,Ciutat Vella,1,el Raval,6,1014,218
2012,1,Ciutat Vella,1,el Raval,6,1015,207
2012,1,Ciutat Vella,1,el Raval,6,1016,199
2012,1,Ciutat Vella,1,el Raval,6,1017,252
2012,1,Ciutat Vella,1,el Raval,7,1018,139
2012,1,Ciutat Vella,1,el Raval,7,1019,332
2012,1,Ciutat Vella,1,el Raval,7,1020,164
2012,1,Ciutat Vella,1,el Raval,8,1021,206
2012,1,Ciutat Vella,2,el Barri Gòtic,9,1022,88
2012,1,Ciutat Vella,2,el Barri Gòtic,9,1023,148
2012,1,Ciutat Vella,2,el Barri Gòtic,10,1025,114
2012,1,Ciutat Vella,2,el Barri Gòtic,10,1026,210
2012,1,Ciutat Vella,2,el Barri Gòtic,10,1027,175
2012,1,Ciutat Vella,2,el Barri Gòtic,11,1028,189
2012,1,Ciutat Vella,2,el Barri Gòtic,11,1029,193
2012,1,Ciutat Vella,2,el Barri Gòtic,12,1030,247
2012,1,Ciutat Vella,2,el Barri Gòtic,12,1031,238
2012,1,Ciutat Vella,3,la Barceloneta,13,1032,152
2012,1,Ciutat Vella,3,la Barceloneta,13,1033,122
2012,1,Ciutat Vella,3,la Barceloneta,13,1034,115
2012,1,Ciutat Vella,3,la Barceloneta,14,1035,123
2012,1,Ciutat Vella,3,la Barceloneta,14,1036,72
2012,1,Ciutat Vella,3,la Barceloneta,15,1037,66
2012,1,Ciutat Vella,3,la Barceloneta,15,1038,146
2012,1,Ciutat Vella,3,la Barceloneta,15,1039,102
2012,1,Ciutat Vella,3,la Barceloneta,15,1040,106
2012,1,Ciutat Vella,3,la Barceloneta,15,1041,169
2012,1,Ciutat Vella,3,la Barceloneta,15,1042,91
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,105
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,117
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,204
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,138
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,181
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,194
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,115
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,117
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,204
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,225
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,185
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,113
2012,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,53
2012,2,Eixample,5,el Fort Pienc,20,2001,68
2012,2,Eixample,5,el Fort Pienc,20,2002,130
2012,2,Eixample,5,el Fort Pienc,20,2003,57
2012,2,Eixample,5,el Fort Pienc,20,2004,95
2012,2,Eixample,5,el Fort Pienc,20,2005,83
2012,2,Eixample,5,el Fort Pienc,20,2006,91
2012,2,Eixample,5,el Fort Pienc,20,2007,47
