Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor
2009,1,Ciutat Vella,1,el Raval,1,1001,161
2009,1,Ciutat Vella,1,el Raval,1,1002,207
2009,1,Ciutat Vella,1,el Raval,2,1003,367
2009,1,Ciutat Vella,1,el Raval,2,1004,358
2009,1,Ciutat Vella,1,el Raval,3,1005,276
2009,1,Ciutat Vella,1,el Raval,3,1006,307
2009,1,Ciutat Vella,1,el Raval,3,1007,342
2009,1,Ciutat Vella,1,el Raval,4,1008,565
2009,1,Ciutat Vella,1,el Raval,4,1009,237
2009,1,Ciutat Vella,1,el Raval,4,1010,311
2009,1,Ciutat Vella,1,el Raval,5,1011,474
2009,1,Ciutat Vella,1,el Raval,5,1012,221
2009,1,Ciutat Vella,1,el Raval,5,1013,109
2009,1,Ciutat Vella,1,el Raval,6,1014,165
2009,1,Ciutat Vella,1,el Raval,6,1015,240
2009,1,Ciutat Vella,1,el Raval,6,1016,208
2009,1,Ciutat Vella,1,el Raval,6,1017,367
2009,1,Ciutat Vella,1,el Raval,7,1018,119
2009,1,Ciutat Vella,1,el Raval,7,1019,332
2009,1,Ciutat Vella,1,el Raval,7,1020,204
2009,1,Ciutat Vella,1,el Raval,8,1021,211
2009,1,Ciutat Vella,2,el Barri Gòtic,9,1022,89
2009,1,Ciutat Vella,2,el Barri Gòtic,9,1023,192
2009,1,Ciutat Vella,2,el Barri Gòtic,10,1025,134
2009,1,Ciutat Vella,2,el Barri Gòtic,10,1026,657
2009,1,Ciutat Vella,2,el Barri Gòtic,10,1027,158
2009,1,Ciutat Vella,2,el Barri Gòtic,11,1028,211
2009,1,Ciutat Vella,2,el Barri Gòtic,11,1029,152
2009,1,Ciutat Vella,2,el Barri Gòtic,12,1030,255
2009,1,Ciutat Vella,2,el Barri Gòtic,12,1031,247
2009,1,Ciutat Vella,3,la Barceloneta,13,1032,194
2009,1,Ciutat Vella,3,la Barceloneta,13,1033,85
2009,1,Ciutat Vella,3,la Barceloneta,13,1034,119
2009,1,Ciutat Vella,3,la Barceloneta,14,1035,133
2009,1,Ciutat Vella,3,la Barceloneta,14,1036,64
2009,1,Ciutat Vella,3,la Barceloneta,15,1037,112
2009,1,Ciutat Vella,3,la Barceloneta,15,1038,196
2009,1,Ciutat Vella,3,la Barceloneta,15,1039,114
2009,1,Ciutat Vella,3,la Barceloneta,15,1040,117
2009,1,Ciutat Vella,3,la Barceloneta,15,1041,177
2009,1,Ciutat Vella,3,la Barceloneta,15,1042,62
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1043,82
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1044,115
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1045,187
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",16,1046,154
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1047,216
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1048,200
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",17,1049,92
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1050,145
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1051,186
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",18,1052,321
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1053,207
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1054,147
2009,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",19,1055,85
2009,2,Eixample,5,el Fort Pienc,20,2001,49
2009,2,Eixample,5,el Fort Pienc,20,2002,641
2009,2,Eixample,5,el Fort Pienc,20,2003,80
2009,2,Eixample,5,el Fort Pienc,20,2004,117
2009,2,Eixample,5,el Fort Pienc,20,2005,105
2009,2,Eixample,5,el Fort Pienc,20,2006,86
2009,2,Eixample,5,el Fort Pienc,20,2007,84
2009,2,Eixample,5,el Fort Pienc,20,2008,84
2009,2,Eixample,5,el Fort Pienc,20,2009,96
2009,2,Eixample,5,el Fort Pienc,21,2010,38
2009,2,Eixample,5,el Fort Pienc,21,2011,23
2009,2,Eixample,5,el Fort Pienc,21,2012,83
2009,2,Eixample,5,el Fort Pienc,21,2013,84
2009,2,Eixample,5,el Fort Pienc,22,2014,130
2009,2,Eixample,5,el Fort Pienc,22,2015,74
2009,2,Eixample,5,el Fort Pienc,22,2016,96
2009,2,Eixample,5,el Fort Pienc,22,2017,92
2009,2,Eixample,5,el Fort Pienc,22,2018,98
2009,2,Eixample,5,el Fort Pienc,22,2019,99
2009,2,Eixample,5,el Fort Pienc,22,2020,112
